step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
129,0.9901077731,0.9863914089,0.9952732182,0.1312996733,0.1159459207,0.1446774681,0.1143937533,5833.2058067656,0.9901077731,0.1497760812,0.9895833333
130,0.9893895658,0.9849729319,0.9951763124,0.1308939840,0.1153827262,0.1435987529,0.1110247822,4287.1644884109,0.9893895658,0.0923981865,0.9895833333
131,0.9895653971,0.9855031242,0.9951744022,0.1322292426,0.1133336394,0.1512136801,0.1138413411,1739.6380500984,0.9895653971,0.0036157022,0.9791666667
132,0.9902297338,0.9868081713,0.9949929514,0.1283922130,0.1162495201,0.1427690261,0.1129912088,5792.5806648938,0.9902297338,0.1000969708,0.9791666667
133,0.9902099935,0.9868648558,0.9948865213,0.1276550387,0.1152526030,0.1422825293,0.1121653918,9526.3234831397,0.9902099935,0.1083423694,0.8333333333
134,0.9903042912,0.9870776577,0.9948124199,0.1287247063,0.1196371884,0.1389106798,0.1131168118,5368.0289460150,0.9903042912,0.1725186259,1.0000000000
135,0.9901774883,0.9868969450,0.9947568960,0.1286390811,0.1175610597,0.1420755665,0.1123243420,1754.0583549738,0.9901774883,0.1162596643,1.0000000000
136,0.9904208692,0.9871050158,0.9949541483,0.1267292847,0.1165433495,0.1388478849,0.1121003083,8903.9070142063,0.9904208692,0.0789839923,0.9583333333
137,0.9905744338,0.9874214926,0.9949829683,0.1212352448,0.1124003327,0.1310675297,0.1066732362,13765.4308985424,0.9905744338,0.0481545404,0.9375000000
138,0.9903417174,0.9867309513,0.9950961742,0.1199142743,0.1155471460,0.1251244959,0.1040866778,1868.9246640571,0.9903417174,0.1008363068,1.0000000000
139,0.9902715206,0.9868806381,0.9949003601,0.1212452394,0.1122505760,0.1312258853,0.1052619775,2112.7529083188,0.9902715206,0.0843145152,1.0000000000
140,0.9904528292,0.9869555960,0.9952113428,0.1177366973,0.1091947522,0.1295382270,0.1029723090,6301.5268101247,0.9904528292,0.0606502295,1.0000000000
141,0.9903726602,0.9864951901,0.9954904790,0.1210938514,0.0977487529,0.1518130937,0.1066181502,1749.5589764118,0.9903726602,0.1604327857,1.0000000000
142,0.9905287433,0.9867751126,0.9955673528,0.1185847572,0.0952209626,0.1509380206,0.1042208467,1283.6019345586,0.9905287433,0.0802438060,0.9166666667
143,0.9907753571,0.9868466735,0.9958021216,0.1165795787,0.0911692368,0.1514204697,0.1033340666,192.5490542412,0.9907753571,0.1337793767,1.0000000000
144,0.9907595778,0.9866887302,0.9958874645,0.1169492162,0.0921786100,0.1515673977,0.1033521238,2471.2905532964,0.9907595778,0.0366365910,0.9895833333
145,0.9903719934,0.9858396091,0.9958162556,0.1188318088,0.0855489753,0.1617794210,0.1028100383,6642.1377878364,0.9903719934,0.1365642150,1.0000000000
146,0.9900967407,0.9851499176,0.9958395157,0.1233354834,0.0856615279,0.1727764421,0.1058118629,6699.4374626430,0.9900967407,0.0799971223,1.0000000000
147,0.9729475387,0.9439280066,0.9958790774,0.1811231781,0.0852081084,0.3121852934,0.1130433868,6646.3679393641,0.9729475387,0.0416844686,1.0000000000
148,0.9851090479,0.9729537039,0.9960238256,0.1428487658,0.0813335827,0.2262973559,0.1049948977,2462.3654568990,0.9851090479,0.0466573238,0.9583333333
149,0.9897614368,0.9841726122,0.9959126635,0.1269289315,0.0807194558,0.1859847810,0.1072890663,199.2649305852,0.9897614368,0.0916371047,0.9791666667
150,0.9897690996,0.9841216316,0.9959379921,0.1310866074,0.0836804408,0.1896153485,0.1120966775,2575.5614164225,0.9897690996,0.1426030397,0.9583333333
151,0.9909043900,0.9867306910,0.9960423746,0.1193011324,0.0823910064,0.1634450741,0.1063654926,16239.0421630081,0.9909043900,0.0299504797,0.9895833333
152,0.9906522504,0.9861447597,0.9960209384,0.1181528111,0.0802338095,0.1651116745,0.1032306965,13797.5712236134,0.9906522504,0.1210817297,0.9583333333
153,0.9906557965,0.9863262353,0.9958181291,0.1167971054,0.0808158134,0.1626478918,0.1032918497,82.3611013174,0.9906557965,-0.0189506014,0.9479166667
154,0.9887170792,0.9820686684,0.9956535835,0.1280031071,0.0885869871,0.1823644096,0.1068671224,1104.9301833010,0.9887170792,0.2044273615,1.0000000000
